run_dir,experiment_name,family,dataset,n_samples,k,generation_seed,seed_dataset,fc_enabled,fc_lower_percentile,fc_upper_percentile,question_id,question,gold_answer,majority_answer,eigenscore,correctness_score,is_correct,unique_generations,clip_fraction
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_231,Which serialised TV drama had a title that is a Lesbian slang term for oral sex?,,Tipping the Velvet,-2.0221297534848093,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_2858,Which 'Regal' male singer provided the half-time entertainment for the 2007 Superbowl?,,Bruce Springsteen.,1.7881791107355767,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_5975,"Cain dwelt in the Land of Nod, which was where on the Biblical compass?",,East of Eden.,-4.2858920830368845,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_6246,Which duo created the “Dagenham dialogues”?,,"The ""Dagenham Dialogues"" were created by John Cleese and Eric Idle.",3.4894489284810772,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_6276,Sanskrit is an ancient language of which modern day country?,,India.,-4.267524583333145,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_654,The characters Denisov and Dolokhov appear in which famous novel?,,War and Peace.,-4.22458649596058,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,jp_1391,What are the only two types of mammal that can lay eggs?,,The platypus and the echidna.,-2.1578398806656844,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,jp_2243,Which record label recorded The Supremes and The Jackson 5?,,Motown Records.,-4.29393430168602,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,jp_4426,What city has a neighborhood called Little Havana?,,Miami.,-2.1792071237480397,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_1436,"In 1942, which town was destroyed by Nazis in reprisal for the assassination of Reinhard Heydrick?",,Leningrad.,-0.15698087832653157,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_14908,Geoff Keegan was leader at which youth club on TV throughout the 1990s?,,Noel's House Party.,1.868154794989199,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_2086,"Which unit of weight, equal to one gram per 9,000 metres, is used to measure the fineness of nylon?",,Decagram.,3.992934914486727,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_3814,In which race did Zola Budd and Mary Decker famously collide at the 1984 Olympics?,,The 3000-meter steeplechase event.,1.9215337081939765,,True,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_5979,Which company manufactures the Playstation video games console?,,Sony.,-4.292954856185932,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_661,"Which 19th century king sired ten illegitimate children, by the Irish comedienne, Dorothea Jordan?",,King George IV of the United Kingdom.,-0.6435382531952277,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_723,What sort of plant is 'Bladderwrack'?,,Bladderwrack is a type of seaweed.,-0.8065252042040936,,True,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,odql_8712,What name is given to the temperature of -273.15 degrees Celsius?,,Absolute zero.,-4.2776295758064595,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_2151,What colour are the flowers of a hawkbit plant?,,The hawkbit plant typically has yellow flowers.,1.453544552261297,,True,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_2869,"In the novel ‘Jane Eyre’ by Charlotte Bronte, what is the name of Mr Rochester’s first wife?",,Bertha Mason.,-2.5650575862083778,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_306,Antigonus is a character in which Shakespeare play?,,"Antigonus is a character in ""A Winter's Tale"".",1.7022080503088888,,True,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_4324,The Hindhead Tunnel is in which English county?,,Surrey.,-4.276815218422042,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_4395,The UK television series ‘Father Ted’ is set on which fictional island?,,Craggy Island.,-4.30117654072365,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_5224,"In the television series ‘Thunderbirds’, what is Lady Penelope’s surname?",,Creighton-Ward.,-4.288125431081301,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_5778,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",,Olof Palme.,2.0113355022208594,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_6790,"Scottish artist, Sir Henry Raeburn was knighted by which British monarch in 1822?",,King George IV.,-4.267508610153358,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_7817,How many ‘E’ tiles are provided in a Scrabble game?,,7.,-0.3933554290134519,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_9518,"In the children’s television series ‘Fireball XL5’, what is the name of the robot co-pilot of XL5?",,Major Zero.,-2.361527228624552,,False,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qb_9823,"In the Jewish calendar, Sivan is which month of the religious year?",,The third month of the Jewish calendar.,0.4171937072604083,,True,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qf_1973,The Northern Line is represented by which colour on the map of the Underground?,,Purple.,-0.868943123556733,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qf_792,Who designed the Queen's wedding dress?,,The Queen's wedding dress was designed by Norman Norell.,1.416800706854293,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qg_1358,"What noted film director and producer, born on May 14, 1944, founded the theatre audio company THX, and the visual effects company Industrial Light and Magic, among others?",,George Lucas.,-4.287954075342666,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qg_2992,"According to Sammy Haggar, what can't he drive?",,He can't drive a motorcycle.,3.528080761419859,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qg_348,What Canadian province lies between British Columbia and Saskatchewan?,,Alberta.,-4.32094372717985,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qg_4371,"What author penned a satirical essay in 1729, entitled A Modest Proposal, modestly proposing that the poor should eat their babies?",,Jonathan Swift.,-4.2408306175912465,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qg_4604,"With a motto of Always Ready, Always There, what US military branch had it's founding on Dec 14, 1636?",,The Continental Army.,1.6801907643302656,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qg_736,Who famously described England as “a nation of shopkeepers”?,,Adam Smith.,-0.34962967441255366,,True,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_11099,With what is FIFA usually associated?,,Soccer.,-0.9138420184205256,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_12041,"What was the name of the operation whereby 1,373 U.S. citizens and 5,595 Vietnamese and foreign nationals were evacuated from the South Vietnamese capital of Saigon on 29 and 30 April 1975?",,Operation Frequent Wind.,-4.230217856399181,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_1527,"In a film script, what do the letters ECU mean?",,Electronic Control Unit.,0.07177054236939018,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_15539,"Which is the style of music, characterised by staccato offbeat rhythms, and owing much to the influence of mento, jazz, ska and rhythm and blues?",,Calypso.,-0.2286569724927201,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_1933,"What remake of a British science-fiction serial broadcast by BBC Television in the summer of 1953 was staged live by BBC Four in 2005 with actors Jason Flemyng, Mark Gatiss, Andrew Tiernan, Indira Varma, David Tennant and Adrian Bower?",,The Quatermass and the Pit.,-2.184000995276639,,False,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_2146,In which city are the Oscar statuettes made?,,Los Angeles.,-0.53686722063667,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_6358,What name is given to the syndrome which involves a delusion that the affected person can transform or has transformed into an animal?,,Zoanthropy.,-0.3137359595607007,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_6656,"The Ironman World Championship, which has been held annually in Hawaii since 1978, with an additional race in 1982, involves which sport?",,Ironman triathlon.,-4.261052079950294,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_6825,In which novel does Michael Henchard sell his wife and child for 5 guineas?,,Jude the Obscure by Thomas Hardy.,1.7221010785028785,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qw_7457,"""The song """"Love is All Around"""" by Wet Wet Wet featured on the soundtrack for which 1994 film?""",,Four Weddings and a Funeral.,-4.2341753247024565,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_2532,What is the name of the London Underground station in EastEnders?,,Walford East.,-4.259584655511118,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_340,Who wrote The Importance Of Being Earnest?,,Oscar Wilde.,-4.2498122117762005,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_3433,Who designed Madonna's wedding dress for her marriage to Guy Ritchie?,,Stella McCartney.,-0.45874200435581336,,True,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_4540,"Which London river, now flowing underground, rises in Hampstead, flows through St. Pancras, down Farringdon Street and enters the Thames by Blackfriars Bridge?",,The River Fleet.,-4.267016662177436,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_603,In which city would you find O'Hare International Airport?,,Chicago.,-4.310984168971065,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_6079,Which method of painting consists of applying pigment to wet plaster?,,Fresco.,-2.094350199846948,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_6273,Who was the second wife of Henry VIII?,,Anne Boleyn.,-4.280388607275545,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,qz_952,What word is given to a point in tennis which has to be replayed?,,Let,-4.236349745185341,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_11998,Who directed the 2011 Palme d'Or winning film 'The Tree Of Life'?,,Terrence Malick.,-2.3044830593387284,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_12189,Who was the first overseas manager to win the Premier League title?,,Rafael Benítez.,1.6335675574107014,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_14710,"Which UK city is traditionally associated with jute, jam and journalism?",,Glasgow.,-4.259091092239875,,False,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_15048,Which car company has owned the Lagonda name since 1947?,,Aston Martin.,1.76663150612743,,True,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_15658,Which National Trust property in Wiltshire was once owned by William Henry Fox-Talbot the pioneer of photography?,,Lacock Abbey.,-2.1294911890719512,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_16585,In which Verdi opera do the gypsies sing the 'Anvil Chorus'?,,Nabucco.,-4.25045187118575,,False,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_17299,"""What does the Latin phrase """"primus inter pares """" mean?""",,"""Primus inter pares"" is a Latin phrase meaning ""first among equals.""",0.12883065706819394,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_17511,For which TV show does the Dave Arch orchestra regularly provide the musical accompaniment?,,"The Dave Arch Orchestra provides musical accompaniment for the TV show ""Days of Our Lives"".",1.9708896649197682,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_19994,"Which villain, played by Richard Kiel, appeared in two James Bond movies, 'The Spy Who Loved Me' and 'Moonraker'?",,Jaws.,-4.287006066675248,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_20297,Who was the original drummer/singer with the Monkees pop group?,,Michael Nesmith.,0.8632151579310875,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_20461,Prior to Andy Murray who was the last British player to contest a tennis Grand Slam singles final?,,Virginia Wade.,-0.6327164401767413,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_21789,"From 1791 to 1803, Toussaint L’Ouverture led a revolt against France on which island?",,Haiti.,-2.3624366792505858,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_23291,Which team did Jose Mourinho manage to win the 2004 UEFA Champions League Final - beating Monaco 3-0?,,Porto.,-4.294198443329845,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_25127,What is the five-letter name for Norway as used on its stamps?,,NORWAY.,-2.082762032296653,,False,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_25397,For which bank was Nick Leeson working at the time of his criminal dealings?,,Barings Bank.,-4.254151685904077,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_25458,Estelle Parsons won a best supporting actress Oscar for her role in which 1967 film?,,Bonnie and Clyde.,-4.261276689005085,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_4354,"When Jim Laker took 19 wickets in the Old Trafford Test Match in 1956, who was the Australian captain?",,The Australian captain was Richie Benaud.,-0.6676636764029098,,True,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_5157,By what name was the shipping area Fitzroy known until 2002?,,"Fitzroy was known as the ""Docklands"" until 2002.",3.4972298215364725,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_5888,Give a year in the reign of King Stephen.,,1075.,1.0080934855562254,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_7154,Which foreign car manufacture has a rams head on its badge?,,Ram Trucks.,-2.5245421635160024,,False,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_7267,In which classic book does a boy hide in a ship's barrel of apples?,,Treasure Island.,-4.284271753618269,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_7459,Richard Joseph Daley was the infamous mayor of which major US City in the 1960's?,,Chicago.,-4.285402179967659,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_80,"""Which female, former TV newsreader, was the first presenter of the TV programme, """"Top Gear""""?""",,Angela Rippon.,-2.4773213596011745,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,sfq_9852,The former cricket umpire Harold (Dicky) Bird played cricket for Yorkshire and which other county?,,Nottinghamshire.,0.4913653767544699,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,tb_1129,The flag of which country prominently features 'The Eagle of Saladin' holding a scroll bearing the name of the country in Arabic?,,Egypt.,-2.426529913226244,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,tb_1962,What term was popularized by Nobel Prize-winning Paul Crutzen to replace 'Holocene' epoch on the Geological Time Scale as he felt that the influence of humans on Earth is significant?,,Anthropocene.,-4.24910562712424,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,tc_1179,Which Joan's career revived in Whatever Happened to Baby Jane?,,Bette Davis.,-4.281606434868271,,False,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,tc_1484,"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",,Muhammad Ali.,1.2371664530959734,,False,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_1283,"Which war veterna, who died in 2009 had the nickname 'The Last Fighting Tommy'?",,Tommy Hartnett.,-0.5033635742751238,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_2368,Which team recently knocked Manchester City out of this season's Capital One Cup?,,"I don't have real-time information, but I can suggest checking a recent sports news source.",3.209472202854183,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_2594,Which film director visited the deepest point on Earth in 2012 ?,,James Cameron.,-4.237451930861041,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_2629,"In the fairy tale Thumbelina, what creature wants the miniature girl to marry her son ?",,A toad.,0.5379134992889737,,True,4,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_3333,"Which French vessel was the first ocean-going liner to exceed 1,000 feet in length ?",,The Normandie.,-2.6198022777733674,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_3414,Name the town in the vicinity of Versailles famous for its hard-paste porcelain.,,Sèvres.,-4.308667211390709,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_4283,Which national anthem was originally called the 'War Song for the Rhine Army'?,,"""Deutschlandlied"".",-2.5616690127424286,,False,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,wh_833,"""Which work by Dylan Thomas starts with the words """"To begin at the beginning""""?""",,"""Under Milk Wood.""",-1.1614781954083926,,True,3,
baseline_qa820_n100_k10_ds42_gs42,baseline_qa820_n100_k10_ds42_gs42,baseline,qa820,100.0,10,42,42,False,,,bb_172,What would a person normally do with perique?,,Use as a flavoring in cigars.,2.4388663448822756,,False,10,
baseline_qa820_n100_k10_ds42_gs42,baseline_qa820_n100_k10_ds42_gs42,baseline,qa820,100.0,10,42,42,False,,,bb_2852,"Barra island, Outer Hebrides, has at 2012 the world's only official beach-based what?",,Puffin colony.,-0.152332824716432,,False,6,
baseline_qa820_n100_k10_ds42_gs42,baseline_qa820_n100_k10_ds42_gs42,baseline,qa820,100.0,10,42,42,False,,,bb_4027,Babel Fish is an icon/metaphor/brand for instantaneous what?,,Global communication.,-1.951425068985727,,False,4,
baseline_qa820_n100_k10_ds42_gs42,baseline_qa820_n100_k10_ds42_gs42,baseline,qa820,100.0,10,42,42,False,,,bb_879,What type of creature is a Meadow Brown?,,A Meadow Brown is a species of butterfly.,-3.397613830057314,,True,3,
baseline_qa820_n100_k10_ds42_gs42,baseline_qa820_n100_k10_ds42_gs42,baseline,qa820,100.0,10,42,42,False,,,bt_2137,In which county is Wentworth golf course,,"Wentworth golf course is located in Surrey, England.",1.2971225169290963,,True,9,
baseline_qa820_n100_k10_ds42_gs42,baseline_qa820_n100_k10_ds42_gs42,baseline,qa820,100.0,10,42,42,False,,,bt_3368,During a penalty shoot out in soccer where should the non participating players be,,"The non-participating players should be behind the goal line, out of the penalty area and at least 9.15 meters (10 yards) away from",2.782411588001145,,False,10,
